# Solution of general relativity problem
# Phi:, inverse r:, derivative of inverse r:, x:, y:
0.00000 1.00000 -0.70000 1 0
0.20000 0.86112 -0.68415 1.13813030328878 0.230710434193165
0.40000 0.72804 -0.64168 1.26512599663083 0.534886692224875
0.60000 0.60595 -0.57405 1.36204679287172 0.9318263456873
0.80000 0.49990 -0.48358 1.39368219314931 1.43498892234104
1.00000 0.41372 -0.37421 1.30597127119534 2.03392974593701
1.20000 0.35105 -0.24996 1.03221466008713 2.65501261232567
1.40000 0.31442 -0.11579 0.540570769996397 3.13416646442815
1.60000 0.30510 0.02295 -0.0957053473326238 3.27623643553195
1.80000 0.32353 0.16077 -0.702249831363179 3.01002653818602
2.00000 0.36902 0.29221 -1.12770618867699 2.46408297630594
2.20000 0.43970 0.41209 -1.33842577908672 1.83876019508307
2.40000 0.53284 0.51566 -1.3838997600868 1.26767195571511
2.60000 0.64465 0.59897 -1.32922414519224 0.799656743784779
2.80000 0.77091 0.65853 -1.22221430870527 0.434533647415642
3.00000 0.90650 0.69232 -1.09210589112943 0.155675919451553
3.20000 1.04614 0.69897 -0.954262416424521 -0.0557994016542537
3.40000 1.18438 0.67832 -0.816289557472883 -0.215759126041675
3.60000 1.31589 0.63137 -0.681486122742031 -0.336290728519601
3.80000 1.43538 0.55967 -0.551050207531288 -0.426268244208841
4.00000 1.53838 0.46638 -0.42489192728731 -0.491948916111777
4.20000 1.62082 0.35502 -0.302477595138237 -0.537738550878832
4.40000 1.67961 0.22998 -0.182979149596596 -0.566562692259009
4.60000 1.71220 0.09602 -0.0655019905740989 -0.580359092499615
4.80000 1.71791 -0.04162 0.0509334944947851 -0.579871246791711
5.00000 1.69569 -0.17763 0.16728465829824 -0.565508297692028
5.20000 1.64709 -0.30683 0.284450479908261 -0.536371736995608
5.40000 1.57378 -0.42421 0.403290796817396 -0.491023009318931
5.60000 1.47840 -0.52508 0.524596405409899 -0.426991720831145
5.80000 1.36500 -0.60582 0.648734104378959 -0.340368871592548
6.00000 1.23760 -0.66278 0.775834951031978 -0.225772774242987
6.20000 1.10141 -0.69409 0.904788700103378 -0.0754392142511312
6.40000 0.96164 -0.69843 1.03280361866739 0.121198417584617
6.60000 0.82375 -0.67531 1.15354715936146 0.378199672317849
6.80000 0.69316 -0.62569 1.25425502153257 0.712843272209724
7.00000 0.57509 -0.55133 1.31091926837071 1.14239795193611
7.20000 0.47404 -0.45536 1.28332628221881 1.67425434070642
7.40000 0.39410 -0.34137 1.11278256210725 2.2804076882082
7.60000 0.33836 -0.21390 0.74258709240833 2.86064278140027
7.80000 0.30900 -0.07796 0.174611562483808 3.23150504482176
8.00000 0.30735 0.06109 -0.473405535590475 3.21902104331921
8.20000 0.33328 0.19772 -1.01762542952808 2.82263781811772
8.40000 0.38589 0.32652 -1.34568860171363 2.21461416600273
8.60000 0.46307 0.44239 -1.46569242175305 1.58592672363485
8.80000 0.56172 0.54082 -1.44393584358808 1.04128982213516
9.00000 0.67807 0.61778 -1.34370346577299 0.607778119215357
9.20000 0.80737 0.67055 -1.2074246951043 0.276067648867282
9.40000 0.94463 0.69701 -1.05829224684705 0.0262276914684218
9.60000 1.08446 0.69612 -0.90800050152381 -0.160750235567635
9.80000 1.22137 0.66803 -0.761791088960577 -0.30005659053737
10.00000 1.35009 0.61407 -0.621494579404872 -0.402952739764277
10.20000 1.46554 0.53617 -0.487373440530382 -0.477553881338814
10.40000 1.56323 0.43748 -0.358862163662716 -0.52956138055599
10.60000 1.63949 0.32191 -0.235035810551096 -0.562843949469353
10.80000 1.69129 0.19391 -0.114900147903968 -0.579991623393809
11.00000 1.71652 0.05841 0.00257830070310212 -0.582569226280305
11.20000 1.71468 -0.07935 0.118392086345906 -0.571054762319282
11.40000 1.68499 -0.21400 0.233526557152772 -0.54559748103785
11.60000 1.62940 -0.34045 0.348772287329776 -0.504988646836224
11.80000 1.54971 -0.45375 0.464881456614701 -0.447518623898867
12.00000 1.44896 -0.54943 0.582387474425605 -0.370316857941672
12.20000 1.33124 -0.62396 0.701327032381952 -0.269094715060842
12.40000 1.20092 -0.67411 0.821197081050324 -0.137897715459407
12.60000 1.06319 -0.69801 0.940034583959426 0.0316247082745426
12.80000 0.92339 -0.69476 1.05354432214991 0.250717204951678
13.00000 0.78697 -0.66427 1.1530882038548 0.533904206524533
13.20000 0.65933 -0.60761 1.22227714835768 0.897992720060204
13.40000 0.54546 -0.52704 1.23233868114548 1.35733894040179
13.60000 0.44975 -0.42578 1.13774341468908 1.91029523205208
13.80000 0.37612 -0.30761 0.879547785931045 2.50903297275546
14.00000 0.32745 -0.17726 0.417583252874128 3.0252263965419
14.20000 0.30575 -0.03988 -0.205372594509861 3.26424110557095
14.40000 0.31159 0.09907 -0.833851376015044 3.09915810656176
14.60000 0.34512 0.23407 -1.29371700729425 2.59271160041584
14.80000 0.40472 0.35981 -1.52043364928588 1.94763976835181
15.00000 0.48815 0.47131 -1.55626121272118 1.33214932817927
15.20000 0.59207 0.56422 -1.47573729607964 0.821524898067318
15.40000 0.71242 0.63487 -1.33762422531443 0.425475855034911
15.60000 0.84442 0.68067 -1.17734862116909 0.127606587341227
15.80000 0.98296 0.69971 -1.01302707867483 -0.0934998559570291
16.00000 1.12257 0.69126 -0.85309445366108 -0.256467698262264
16.20000 1.25775 0.65580 -0.700755415249486 -0.375609936629138
16.40000 1.38330 0.59498 -0.556603978089221 -0.461294445913085
16.60000 1.49438 0.51111 -0.420126343712601 -0.520853154872844
16.80000 1.58647 0.40730 -0.290380127018136 -0.559461270810811
