# Solution of general relativity problem
# Phi:, inverse r:, derivative of inverse r:, x:, y:
0.00000 1.00000 -0.50000 1 0
0.20000 0.90064 -0.49000 1.08818430785632 0.220585879685534
0.40000 0.80529 -0.46031 1.143759230262 0.483573646423954
0.60000 0.71759 -0.41256 1.15015216542019 0.786861431557854
0.80000 0.64131 -0.34810 1.0863734548107 1.11857199642911
1.00000 0.57925 -0.26988 0.932758170239104 1.45268477956535
1.20000 0.53393 -0.18089 0.678664049235141 1.74562683511898
1.40000 0.50724 -0.08466 0.335085183913777 1.94278493111328
1.60000 0.50025 0.01497 -0.0583698138271136 1.99814656260507
1.80000 0.51322 0.11399 -0.442701727539367 1.89753544804363
2.00000 0.54559 0.20846 -0.762749576117666 1.66663822950293
2.20000 0.59605 0.29464 -0.987334761053406 1.35642325948448
2.40000 0.66272 0.36901 -1.11267923052329 1.01923007498215
2.60000 0.74284 0.42860 -1.15352664701671 0.693957723954041
2.80000 0.83311 0.47132 -1.13096535424369 0.402091921997573
3.00000 0.93016 0.49490 -1.06432499482677 0.151715848720104
3.20000 1.02994 0.49897 -0.969274109837151 -0.0566771932300557
3.40000 1.12857 0.48320 -0.856655162292856 -0.22642843760933
3.60000 1.22203 0.44792 -0.73382859131055 -0.362119995323446
3.80000 1.30661 0.39480 -0.60535753901883 -0.468278011240001
4.00000 1.37897 0.32595 -0.474006981985972 -0.548815371725652
4.20000 1.43623 0.24411 -0.341351625082395 -0.606848015067209
4.40000 1.47612 0.15252 -0.208203845596761 -0.64466651834398
4.60000 1.49703 0.05482 -0.0749165111957748 -0.66377339176635
4.80000 1.49792 -0.04509 0.0584137367249716 -0.665032837044787
5.00000 1.47893 -0.14317 0.19180233524955 -0.648390672544239
5.20000 1.44086 -0.23550 0.325165262723612 -0.613145236506356
5.40000 1.38522 -0.31844 0.458190645881457 -0.557865816819932
5.60000 1.31421 -0.38867 0.59013700134886 -0.480338048704683
5.80000 1.23067 -0.44339 0.71954164183758 -0.377519194756318
6.00000 1.13792 -0.48042 0.843793690513028 -0.245549188190676
6.20000 1.03966 -0.49829 0.958526512910529 -0.0799197502848844
6.40000 0.93980 -0.49634 1.0568089681357 0.124015420078159
6.60000 0.84233 -0.47448 1.12810096554021 0.369856933933178
6.80000 0.75121 -0.43357 1.15733226777526 0.657758196404712
7.00000 0.66985 -0.37563 1.12547842847145 0.980795906091185
7.20000 0.60191 -0.30241 1.01070934931941 1.31859258143212
7.40000 0.54973 -0.21725 0.797745646603157 1.63480752457471
7.60000 0.51550 -0.12343 0.487405950715282 1.87761722332567
7.80000 0.50063 -0.02468 0.107775143025362 1.99457535021566
8.00000 0.50570 0.07506 -0.287722635324188 1.95643089934003
8.20000 0.53048 0.17181 -0.639332386384506 1.7733477562498
8.40000 0.57399 0.26170 -0.904693385414779 1.48886360832453
8.60000 0.63447 0.34118 -1.0697386931183 1.15749195093291
8.80000 0.70957 0.40705 -1.14307816817322 0.824327249516798
9.00000 0.79632 0.45654 -1.14417391488564 0.517527778827616
9.20000 0.89111 0.48806 -1.09397146794184 0.250127508826962
